20	1.4e+03	##########################
21	1.5e+03	###########################
22	1.3e+03	#######################
23	1.3e+03	#######################
24	1.2e+03	######################
25	1.3e+03	#######################
26	1.1e+03	#####################
27	1.1e+03	####################
28	1e+03	##################
29	9.9e+02	##################
30	1e+03	###################
31	9.4e+02	#################
32	9e+02	################
33	1e+03	###################
34	8.6e+02	################
35	8.8e+02	################
36	8.7e+02	################
37	6.9e+02	#############
38	8.6e+02	################
39	7.6e+02	##############
40	8.4e+02	###############
41	8e+02	###############
42	7.8e+02	##############
43	7.6e+02	##############
44	7.2e+02	#############
45	7.8e+02	##############
46	8.4e+02	###############
47	9.3e+02	#################
48	9.7e+02	##################
49	1e+03	###################
50	1.3e+03	#######################
51	1e+03	##################
52	9.3e+02	#################
53	8.7e+02	################
54	8.3e+02	###############
55	8.2e+02	###############
56	7.4e+02	##############
57	8.4e+02	###############
58	7.6e+02	##############
59	7.8e+02	##############
60	8.3e+02	###############
61	7.8e+02	##############
62	7.4e+02	##############
63	8.2e+02	###############
64	9.3e+02	#################
65	8.5e+02	###############
66	8.5e+02	###############
67	9.9e+02	##################
68	8.6e+02	################
69	9.3e+02	#################
70	8.9e+02	################
71	9.3e+02	#################
72	8.5e+02	################
73	1e+03	###################
74	9.5e+02	#################
75	1e+03	##################
76	9e+02	################
77	9.8e+02	##################
78	9.1e+02	#################
79	9e+02	################
80	5e+02	#########
234	110	124
578	218	360
609	236	373
450	158	290
371	119	247
364	130	234
281	92	189
197	78	119
183	76	106
181	74	106
152	65	86
17	3	14
228	105	121
565	267	294
872	376	481
1091	459	630
1094	477	608
1122	428	683
1089	377	692
1090	381	700
998	346	642
1010	358	646
924	340	575
571	211	357
457	172	279
941	266	668
966	277	684
955	256	694
13	2	11
599	119	471
95	20	75
80	18	62
57	18	38
66	16	45
77	18	58
71	20	51
70	19	50
70	23	42
81	20	46
108	47	49
147	44	101
156	64	78
16	3	13
32	7	25
15	4	11
16	4	12
13	3	10
23	4	19
18	3	13
10	2	8
18	3	15
714	180	531
714	172	541
705	166	538
766	217	544
750	199	548
751	186	561
17	4	13
124	24	100
126	35	89
125	39	79
127	47	79
130	52	77
111	46	61
97	37	57
28	11	17
921	192	723
1002	239	742
998	243	738
1058	285	772
916	280	633
731	209	520
47	15	32
85	22	50
1015	328	679
1020	318	695
972	251	713
971	250	712
967	250	701
1097	353	740
1112	370	733
1127	389	729
1095	420	670
993	381	597
921	372	531
868	388	478
915	385	530
741	156	584
25	12	13
14	2	12
12	2	10
11	2	9
17	3	14
12	2	10
13	2	10
960	238	709
1075	341	720
1108	380	719
1005	302	681
946	267	665
881	184	679
871	179	687
883	187	678
909	255	645
915	253	653
919	279	634
899	235	660
858	193	660
39	8	31
13	2	11
12	3	9
12	2	10
98	29	54
93	27	64
20	4	16
11	3	8
10	2	8
10	5	5
10	4	4
18	3	14
28	8	19
19	3	14
34	6	28
401	150	251
726	256	464
989	322	655
1128	333	783
1143	345	791
1148	351	787
1100	357	735
986	288	693
532	114	418
848	182	662
860	210	649
859	203	654
809	183	623
42	9	33
381	88	289
408	94	310
416	98	315
442	101	339
484	108	373
534	114	419
542	113	424
546	113	431
781	190	591
867	230	637
966	269	693
1034	289	744
1098	334	754
1142	376	746
1132	387	734
1128	351	765
1121	347	769
1120	344	774
1121	348	771
1069	294	767
1064	289	771
1068	282	781
975	220	754
942	191	751
17	3	14
14	2	12
1208	338	860
866	231	621
891	253	632
976	341	618
1019	366	651
1007	354	650
998	346	647
995	344	646
965	306	645
965	309	651
891	244	642
861	221	639
819	167	643
698	140	552
698	154	537
718	162	554
718	179	531
743	213	529
989	425	561
954	396	545
893	346	544
888	336	540
882	323	551
817	269	542
794	245	542
789	239	546
770	207	549
739	174	559
721	152	555
116	24	60
96	22	52
12	2	10
12	2	10
22	5	17
11	2	9
20	4	16
28	5	23
13	2	11
15	3	12
35	12	18
73	17	38
595	136	453
154	30	123
77	15	61
32	7	24
10	3	7
11	4	7
21	4	16
29	10	18
89	30	59
117	39	75
148	58	89
230	81	148
269	83	186
373	84	288
388	84	304
421	84	337
55	12	35
27	5	20
50	21	24
43	18	22
39	14	22
33	11	21
27	7	19
21	5	15
15	3	12
12	5	7
23	4	19
14	2	12
1747	624	919
2191	660	1500
2171	693	1458
2144	587	1336
1059	225	767
1076	294	773
864	256	603
386	102	281
163	56	99
142	51	90
124	41	79
118	42	74
112	46	66
106	38	65
101	36	63
93	35	58
84	33	51
75	28	46
67	23	41
61	21	39
43	17	26
37	13	24
32	12	20
13	5	8
103	21	49
11	2	9
16	3	12
11	2	9
12	5	7
24	9	15
43	21	22
57	22	25
67	26	41
84	35	49
96	24	69
131	37	92
139	53	85
160	49	105
189	64	122
207	68	138
253	71	178
1062	510	546
136	62	71
125	53	69
119	49	67
111	48	61
106	46	58
102	44	56
87	41	44
82	39	43
78	36	42
65	31	33
52	24	26
43	19	24
30	13	17
25	11	14
14	5	9
1010	366	631
992	281	703
1057	358	689
1078	370	708
1075	366	703
1063	361	694
1069	361	704
1073	366	702
1052	343	706
1047	337	707
1040	326	706
1031	308	721
974	257	701
13	2	11
326	82	237
107	21	74
97	19	66
81	22	48
45	18	23
27	6	20
13	2	11
113	25	63
117	44	63
1241	335	896
1300	430	869
1390	486	899
1307	506	793
1475	587	883
1477	577	886
1149	407	739
624	215	407
44	8	36
14	2	12
66	26	31
54	17	33
42	13	26
32	11	20
21	8	12
16	7	8
12	4	7
11	4	6
15	6	9
21	4	17
24	4	20
29	5	24
53	12	40
60	13	45
66	22	24
48	12	29
10	2	8
19	3	16
10	2	8
16	3	13
13	4	9
17	4	13
56	11	44
79	15	63
87	22	60
100	28	54
145	49	90
584	218	362
692	249	430
838	288	534
985	344	616
1112	376	723
1232	425	806
1340	407	895
1427	435	984
1706	534	1130
1834	625	1205
1943	638	1301
2049	685	1354
2139	668	1466
2268	669	1546
2299	718	1560
2437	937	1489
2536	911	1538
2683	1094	1571
2788	1111	1489
8025	1925	6077
11	3	8
941	220	714
959	241	717
