#ID	Whisson2007
PHYGONAP_000245-T1	neither
PHYGONAP_000246-T1	neither
PHYGONAP_000247-T1	neither
PHYGONAP_000248-T1	neither
PHYGONAP_000249-T1	neither
PHYGONAP_000250-T1	neither
PHYGONAP_000251-T1	neither
PHYGONAP_000252-T1	neither
PHYGONAP_000253-T1	neither
PHYGONAP_000254-T1	neither
PHYGONAP_000255-T1	neither
PHYGONAP_000256-T1	neither
PHYGONAP_000257-T1	neither
PHYGONAP_000258-T1	neither
PHYGONAP_000259-T1	neither
PHYGONAP_000260-T1	neither
PHYGONAP_000261-T1	neither
PHYGONAP_000262-T1	neither
PHYGONAP_000263-T1	neither
PHYGONAP_000264-T1	neither
PHYGONAP_000265-T1	neither
PHYGONAP_000266-T1	neither
PHYGONAP_000267-T1	neither
PHYGONAP_000268-T1	neither
PHYGONAP_000269-T1	neither
PHYGONAP_000270-T1	neither
PHYGONAP_000271-T1	neither
PHYGONAP_000272-T1	neither
PHYGONAP_000273-T1	neither
PHYGONAP_000274-T1	neither
PHYGONAP_000275-T1	neither
PHYGONAP_000276-T1	neither
PHYGONAP_000277-T1	neither
PHYGONAP_000278-T1	neither
PHYGONAP_000279-T1	neither
PHYGONAP_000280-T1	neither
PHYGONAP_000281-T1	neither
PHYGONAP_000282-T1	neither
PHYGONAP_000283-T1	neither
PHYGONAP_000284-T1	neither
PHYGONAP_000285-T1	neither
PHYGONAP_000286-T1	neither
PHYGONAP_000287-T1	neither
PHYGONAP_000288-T1	neither
PHYGONAP_000289-T1	neither
PHYGONAP_000290-T1	neither
PHYGONAP_000291-T1	neither
PHYGONAP_000292-T1	neither
PHYGONAP_000293-T1	neither
PHYGONAP_000294-T1	neither
PHYGONAP_000295-T1	neither
PHYGONAP_000296-T1	neither
PHYGONAP_000297-T1	neither
PHYGONAP_000298-T1	neither
PHYGONAP_000299-T1	neither
PHYGONAP_000300-T1	neither
PHYGONAP_000301-T1	neither
PHYGONAP_000302-T1	neither
PHYGONAP_000303-T1	neither
PHYGONAP_000304-T1	neither
PHYGONAP_000305-T1	neither
PHYGONAP_000306-T1	neither
PHYGONAP_000307-T1	neither
PHYGONAP_000308-T1	neither
PHYGONAP_000309-T1	neither
PHYGONAP_000310-T1	neither
PHYGONAP_000311-T1	neither
PHYGONAP_000312-T1	neither
PHYGONAP_000313-T1	neither
PHYGONAP_000314-T1	neither
PHYGONAP_000315-T1	neither
PHYGONAP_000316-T1	neither
PHYGONAP_000317-T1	neither
PHYGONAP_000318-T1	neither
PHYGONAP_000319-T1	neither
PHYGONAP_000320-T1	neither
PHYGONAP_000321-T1	neither
PHYGONAP_000322-T1	neither
PHYGONAP_000323-T1	neither
PHYGONAP_000324-T1	neither
PHYGONAP_000325-T1	neither
PHYGONAP_000326-T1	neither
PHYGONAP_000327-T1	neither
PHYGONAP_000328-T1	neither
PHYGONAP_000329-T1	neither
PHYGONAP_000330-T1	neither
PHYGONAP_000331-T1	neither
PHYGONAP_000332-T1	neither
PHYGONAP_000333-T1	neither
PHYGONAP_000334-T1	neither
PHYGONAP_000335-T1	neither
PHYGONAP_000336-T1	neither
PHYGONAP_000337-T1	neither
PHYGONAP_000338-T1	hmm
PHYGONAP_000339-T1	neither
PHYGONAP_000340-T1	neither
PHYGONAP_000341-T1	neither
PHYGONAP_000342-T1	neither
PHYGONAP_000343-T1	neither
PHYGONAP_000344-T1	neither
PHYGONAP_000345-T1	neither
PHYGONAP_000346-T1	neither
PHYGONAP_000347-T1	neither
PHYGONAP_000348-T1	neither
PHYGONAP_000349-T1	neither
PHYGONAP_000350-T1	neither
PHYGONAP_000351-T1	neither
PHYGONAP_000352-T1	neither
PHYGONAP_000353-T1	re
PHYGONAP_000354-T1	neither
PHYGONAP_000355-T1	neither
PHYGONAP_000356-T1	neither
PHYGONAP_000357-T1	neither
PHYGONAP_000358-T1	neither
PHYGONAP_000359-T1	neither
PHYGONAP_000360-T1	neither
PHYGONAP_000361-T1	neither
PHYGONAP_000362-T1	neither
