#ID	Bhattacharjee2006
PHYSUEDO_000110-T1	N
PHYSUEDO_000111-T1	N
PHYSUEDO_000112-T1	N
PHYSUEDO_000113-T1	N
PHYSUEDO_000114-T1	N
PHYSUEDO_000115-T1	N
PHYSUEDO_000116-T1	N
PHYSUEDO_000117-T1	N
PHYSUEDO_000118-T1	N
PHYSUEDO_000119-T1	N
PHYSUEDO_000120-T1	N
PHYSUEDO_000121-T1	N
PHYSUEDO_000122-T1	N
PHYSUEDO_000123-T1	N
PHYSUEDO_000124-T1	N
PHYSUEDO_000125-T1	N
PHYSUEDO_000126-T1	N
PHYSUEDO_000127-T1	N
PHYSUEDO_000128-T1	N
PHYSUEDO_000129-T1	N
PHYSUEDO_000130-T1	N
PHYSUEDO_000131-T1	N
PHYSUEDO_000132-T1	N
PHYSUEDO_000133-T1	N
PHYSUEDO_000134-T1	N
PHYSUEDO_000135-T1	N
PHYSUEDO_000136-T1	N
PHYSUEDO_000137-T1	N
PHYSUEDO_000138-T1	N
PHYSUEDO_000139-T1	N
PHYSUEDO_000140-T1	N
PHYSUEDO_000141-T1	N
PHYSUEDO_000142-T1	N
PHYSUEDO_000143-T1	N
PHYSUEDO_000144-T1	N
PHYSUEDO_000145-T1	N
PHYSUEDO_000146-T1	N
PHYSUEDO_000147-T1	N
PHYSUEDO_000148-T1	N
PHYSUEDO_000149-T1	N
PHYSUEDO_000150-T1	N
PHYSUEDO_000151-T1	N
PHYSUEDO_000152-T1	N
PHYSUEDO_000153-T1	N
PHYSUEDO_000154-T1	N
PHYSUEDO_000155-T1	N
PHYSUEDO_000156-T1	Y
PHYSUEDO_000157-T1	N
PHYSUEDO_000158-T1	N
PHYSUEDO_000159-T1	N
PHYSUEDO_000160-T1	N
PHYSUEDO_000161-T1	N
PHYSUEDO_000162-T1	N
PHYSUEDO_000163-T1	N
PHYSUEDO_000164-T1	N
PHYSUEDO_000165-T1	N
PHYSUEDO_000166-T1	N
PHYSUEDO_000167-T1	N
PHYSUEDO_000168-T1	N
PHYSUEDO_000169-T1	N
PHYSUEDO_000170-T1	N
PHYSUEDO_000171-T1	N
PHYSUEDO_000172-T1	N
PHYSUEDO_000173-T1	N
PHYSUEDO_000174-T1	N
PHYSUEDO_000175-T1	N
PHYSUEDO_000176-T1	N
PHYSUEDO_000177-T1	N
PHYSUEDO_000178-T1	N
PHYSUEDO_000179-T1	N
PHYSUEDO_000180-T1	N
PHYSUEDO_000181-T1	N
PHYSUEDO_000182-T1	N
PHYSUEDO_000183-T1	Y
PHYSUEDO_000184-T1	N
PHYSUEDO_000185-T1	N
PHYSUEDO_000186-T1	N
PHYSUEDO_000187-T1	N
PHYSUEDO_000188-T1	N
PHYSUEDO_000189-T1	N
PHYSUEDO_000190-T1	N
PHYSUEDO_000191-T1	N
PHYSUEDO_000192-T1	N
PHYSUEDO_000193-T1	N
PHYSUEDO_000194-T1	N
PHYSUEDO_000195-T1	N
PHYSUEDO_000196-T1	N
PHYSUEDO_000197-T1	N
PHYSUEDO_000198-T1	N
PHYSUEDO_000199-T1	N
PHYSUEDO_000200-T1	N
PHYSUEDO_000201-T1	N
PHYSUEDO_000202-T1	N
PHYSUEDO_000203-T1	N
PHYSUEDO_000204-T1	N
PHYSUEDO_000205-T1	N
PHYSUEDO_000206-T1	N
PHYSUEDO_000207-T1	N
PHYSUEDO_000208-T1	N
PHYSUEDO_000209-T1	N
PHYSUEDO_000210-T1	N
PHYSUEDO_000211-T1	N
PHYSUEDO_000212-T1	N
PHYSUEDO_000213-T1	N
PHYSUEDO_000214-T1	N
PHYSUEDO_000215-T1	N
PHYSUEDO_000216-T1	N
PHYSUEDO_000217-T1	N
PHYSUEDO_000218-T1	N
PHYSUEDO_000219-T1	N
