PHYBOEH_000016-T1	Y
PHYBOEH_000088-T1	Y
PHYBOEH_000248-T1	Y
PHYBOEH_000261-T1	Y
PHYBOEH_000301-T1	Y
PHYBOEH_000338-T1	Y
PHYBOEH_000339-T1	Y
PHYBOEH_000347-T1	Y
PHYBOEH_000362-T1	Y
PHYBOEH_000363-T1	Y
PHYBOEH_000366-T1	Y
PHYBOEH_000372-T1	Y
PHYBOEH_000374-T1	Y
PHYBOEH_000378-T1	Y
PHYBOEH_000389-T1	Y
PHYBOEH_000449-T1	Y
PHYBOEH_000450-T1	Y
PHYBOEH_000522-T1	Y
PHYBOEH_000564-T1	Y
PHYBOEH_000788-T1	Y
PHYBOEH_000803-T1	Y
PHYBOEH_000809-T1	Y
PHYBOEH_000834-T1	Y
PHYBOEH_000835-T1	Y
PHYBOEH_000836-T1	Y
PHYBOEH_000895-T1	Y
PHYBOEH_000897-T1	Y
PHYBOEH_000956-T1	Y
PHYBOEH_000977-T1	Y
PHYBOEH_000985-T1	Y
PHYBOEH_001150-T1	Y
PHYBOEH_001154-T1	Y
PHYBOEH_001365-T1	Y
PHYBOEH_001430-T1	Y
PHYBOEH_001451-T1	Y
PHYBOEH_001463-T1	Y
PHYBOEH_001553-T1	Y
PHYBOEH_001554-T1	Y
PHYBOEH_001562-T1	Y
PHYBOEH_001660-T1	Y
PHYBOEH_001662-T1	Y
PHYBOEH_001704-T1	Y
PHYBOEH_001817-T1	Y
PHYBOEH_001818-T1	Y
PHYBOEH_001831-T1	Y
PHYBOEH_001847-T1	Y
PHYBOEH_002185-T1	Y
PHYBOEH_002248-T1	Y
PHYBOEH_002344-T1	Y
PHYBOEH_002353-T1	Y
PHYBOEH_002355-T1	Y
PHYBOEH_002438-T1	Y
PHYBOEH_002449-T1	Y
PHYBOEH_002452-T1	Y
PHYBOEH_002453-T1	Y
PHYBOEH_002475-T1	Y
PHYBOEH_002558-T1	Y
PHYBOEH_002585-T1	Y
PHYBOEH_002810-T1	Y
PHYBOEH_002819-T1	Y
